어떠/B_XRI	어떠/XR
시집간/B_VVII+ETM	시집가/VV + ㄴ/ETM
대구시/B_NNPII	대구시/NNP
든/B_EC	든/EC
계산대/B_NNGII	계산대/NNG
훑어보/B_VVII	훑어보/VV
시급/B_XRI	시급/XR
둔하/B_VAI	둔하/VA
그치/B_VVI	그치/VV
목발/B_NNGI	목발/NNG
승락/B_NNGI	승락/NNG
대화/B_NNGI	대화/NNG
D/B_SL	D/SL
머리/B_NNGI	머리/NNG
메이저/B_NNGII	메이저/NNG
이후/B_NNGI	이후/NNG
팔봉산/B_NNPII	팔봉산/NNP
팀장/B_NNGI	팀장/NNG
형평/B_NNGI	형평/NNG
사무소장/B_NNGIII	사무소장/NNG
자판/B_NNGI	자판/NNG
담임/B_NNGI	담임/NNG
외마디/B_NNGII	외마디/NNG
설움/B_NNGI	설움/NNG
존폐/B_NNGI	존폐/NNG
멋지/B_VAI	멋지/VA
헐떡이/B_VVII	헐떡이/VV
얼핏/B_MAGI	얼핏/MAG
고자/B_ECI	고자/EC
지배/B_NNGI	지배/NNG
질문/B_NNGI	질문/NNG
모험/B_NNGI	모험/NNG
쪼/B_VV	쪼/VV
개선/B_NNGI	개선/NNG
전국/B_NNGI	전국/NNG
일색/B_NNGI	일색/NNG
께/B_JKB	께/JKB
유리문/B_NNGII	유리문/NNG
찾아왔/B_VVII+EP	찾아오/VV + 았/EP
응원/B_NNGI	응원/NNG
속성/B_NNGI	속성/NNG
street/B_SL+B_NYIIIII	Street/SL
타고난/B_VVII+ETM	타고나/VV + ㄴ/ETM
친지/B_NNGI	친지/NNG
으리라/B_ECII	으리라/EC
과밀/B_NNGI	과밀/NNG
후원회비/B_NNGIII	후원회비/NNG
놓여/B_VVI+EC	놓이/VV + 어/EC
아니/B_MAGI	아니/MAG
책상/B_NNGI	책상/NNG
바뀔/B_VVI+ETM	바뀌/VV + ㄹ/ETM
아니/B_ICI	아니/IC
인간애/B_NNGII	인간애/NNG
딴따라/B_NNGII	딴따라/NNG
아남전자/B_NNPIII	아남전자/NNP
터뜨리/B_VVII	터뜨리/VV
살맛/B_NNGI	살맛/NNG
달라고/B_VXI_ECI	달/VX
검/B_VA	검/VA
지면/B_NNGI	지면/NNG
즉석/B_NNGI	즉석/NNG
머물/B_VVI	머물/VV
버렸/B_VXI+EP	버리/VX + 었/EP
어머니/B_NNGII	어머니/NNG
립스틱/B_NNGII	립스틱/NNG
자동차관/B_NNGIII	자동차관/NNG
임대료/B_NNGII	임대료/NNG
봄/B_NNG	봄/NNG
호소/B_NNGI	호소/NNG
빗/B_NNG	빗/NNG
발작/B_NNGI	발작/NNG
늑대/B_NNGI	늑대/NNG
려는/B_ETMI	려는/ETM
경종/B_NNGI	경종/NNG
희망/B_NNGI	희망/NNG
폴/B_NNP	폴/NNP
반찬/B_NNGI	반찬/NNG
현/B_MM	현/MM
구해서/B_VVI_ECI	구하/VV
우리나라/B_NNGIII	우리나라/NNG
낸다/B_VX+B_NYI_EF	내/VX + ㄴ다/EF
수수/B_NNGI	수수/NNG
소파/B_NNGI	소파/NNG
자/B_IC	자/IC
났/B_VX+EP	나/VX + 았/EP
뽑아낸다/B_VVII+B_NYI_EF	뽑아내/VV + ㄴ다/EF
살풀이/B_NNGII	살풀이/NNG
야지/B_EFI	야지/EF
독점/B_NNGI	독점/NNG
자존심/B_NNGII	자존심/NNG
이식/B_NNGI	이식/NNG
아이엠에프/B_NNGIIII	아이엠에프/NNG
사고방식/B_NNGIII	사고방식/NNG
오르내리/B_VVIII	오르내리/VV
만들/B_VVI+ETM	만들/VV + ㄹ/ETM
병정/B_NNGI	병정/NNG
원작/B_NNGI	원작/NNG
따른다/B_VVI+B_NYI_EF	따르/VV + ㄴ다/EF
들은/B_VV+B_NYI_ETM	듣/VV + 은/ETM
세미나/B_NNGII	세미나/NNG
주의/B_NNGI	주의/NNG
올라앉/B_VVII	올라앉/VV
떨치/B_VVI	떨치/VV
이하/B_NNGI	이하/NNG
사레와/B_NNPII	사레와/NNP
칠순/B_NNGI	칠순/NNG
우울/B_NNGI	우울/NNG
맞대결/B_NNGII	맞대결/NNG
잡아당기/B_VVIII	잡아당기/VV
크나큰/B_VAII+ETM	크나크/VA + ㄴ/ETM
몰리/B_VVI	몰리/VV
쉼터/B_NNGI	쉼터/NNG
붙이/B_VVI	붙이/VV
싸움/B_NNGI	싸움/NNG
치밀/B_XRI	치밀/XR
일깨우/B_VVII	일깨우/VV
확대/B_NNGI	확대/NNG
돌아왔/B_VVII+EP	돌아오/VV + 았/EP
영향/B_NNGI	영향/NNG
월반/B_NNGI	월반/NNG
파스텔/B_NNGII	파스텔/NNG
램프/B_NNGI	램프/NNG
박정희/B_NNPII	박정희/NNP
음악인/B_NNGII	음악인/NNG
박시시/B_NNGII	박시시/NNG
차/B_VV+EC	차/VV + 아/EC
해야/B_VV+ECI	하/VV + 아야/EC
대응/B_NNGI	대응/NNG
순식간/B_NNGII	순식간/NNG
물었/B_VV+B_NYI_EP	묻/VV + 었/EP
놓이/B_VVI	놓이/VV
태도/B_NNGI	태도/NNG
전래/B_NNGI	전래/NNG
들렸/B_VVI+EP	들리/VV + 었/EP
할까/B_VV+EFI	하/VV + ㄹ까/EF
꾸러미/B_NNGII	꾸러미/NNG
안양/B_NNPI	안양/NNP
줄여/B_VVI+EC	줄이/VV + 어/EC
공사판/B_NNGII	공사판/NNG
을/B_JKO	을/JKO
미치/B_VVI	미치/VV
불리/B_VVI	불리/VV
살아간다/B_VVII+B_NYI_EF	살아가/VV + ㄴ다/EF
찰랑찰랑/B_MAGIII	찰랑찰랑/MAG
자/B_VV	자/VV
아이스크림/B_NNGIIII	아이스크림/NNG
……/B_SEI	…/SE + …/SE
교과/B_NNGI	교과/NNG
교무실/B_NNGII	교무실/NNG
캐비넷/B_NNGII	캐비넷/NNG
국공립/B_NNGII	국공립/NNG
영상/B_NNGI	영상/NNG
석고/B_NNGI	석고/NNG
할까/B_VV+ECI	하/VV + ㄹ까/EC
식음/B_NNGI	식음/NNG
랍시고/B_VCP+B_NYI_ECI	이/VCP + 랍시고/EC
바꿨/B_VVI+EP	바꾸/VV + 었/EP
자아내/B_VVII	자아내/VV
세종문화회관/B_NNPIIIII	세종문화회관/NNP
3/B_SN	3/SN
의아/B_NNGI	의아/NNG
여의도/B_NNPII	여의도/NNP
우려/B_NNGI	우려/NNG
눈시울/B_NNGII	눈시울/NNG
월/B_NNG	월/NNG
어쩔/B_VVI+ETM	어쩌/VV + ㄹ/ETM
월/B_NNB	월/NNB
물안경/B_NNGII	물안경/NNG
경무대/B_NNPII	경무대/NNP
차등/B_NNGI	차등/NNG
정릉/B_NNPI	정릉/NNP
진/B_VX+ETM	지/VX + ㄴ/ETM
신의/B_NNGI	신의/NNG
지저분/B_XRII	지저분/XR
90/B_SNI	90/SN
여/B_XSN	여/XSN
살림/B_NNGI	살림/NNG
빌려/B_VVI+EC	빌리/VV + 어/EC
엄밀/B_XRI	엄밀/XR
판다는/B_VV+ETMII	팔/VV + ㄴ다는/ETM
근성/B_NNGI	근성/NNG
말/B_VV	말/VV
군대식/B_NNGII	군대식/NNG
말/B_VX	말/VX
외부/B_NNGI	외부/NNG
최/B_NNP	최/NNP
백팔십/B_NRII	백팔십/NR
읍/B_NNG	읍/NNG
중심/B_NNGI	중심/NNG
려면/B_ECI	려면/EC
불가피/B_XRII	불가피/XR
밤공기/B_NNGII	밤공기/NNG
행태/B_NNGI	행태/NNG
온천/B_NNGI	온천/NNG
타블로이드/B_NNGIIII	타블로이드/NNG
가르쳤/B_VVII+EP	가르치/VV + 었/EP
부푼/B_VVI+ETM	부풀/VV + ㄴ/ETM
뭇사람/B_NNGII	뭇사람/NNG
미심쩍/B_VAII	미심쩍/VA
사람/B_NNGI	사람/NNG
던가/B_EFI	던가/EF
콩/B_NNG	콩/NNG
으시/B_EPI	으시/EP
정윤미/B_NNPII	정윤미/NNP
아무튼/B_MAGII	아무튼/MAG
눈가/B_NNGI	눈가/NNG
필수품/B_NNGII	필수품/NNG
탐색/B_NNGI	탐색/NNG
절대로/B_MAGII	절대로/MAG
제하/B_VVI	제하/VV
꼽힌다/B_VVI+B_NYI_EF	꼽히/VV + ㄴ다/EF
선물/B_NNGI	선물/NNG
대한/B_VVI+ETM	대하/VV + ㄴ/ETM
수사/B_NNGI	수사/NNG
뒹구는/B_VVI+B_NYI_ETM	뒹굴/VV + 는/ETM
졸졸/B_MAGI	졸졸/MAG
충무공/B_NNPII	충무공/NNP
무실/B_NNGI	무실/NNG
을까/B_ECI	을까/EC
끝내/B_MAGI	끝내/MAG
진다/B_VX+B_NYI_EF	지/VX + ㄴ다/EF
1532/B_SNIII	1532/SN
랠리/B_NNGI	랠리/NNG
애정/B_NNGI	애정/NNG
방어/B_NNGI	방어/NNG
나빠/B_VAI+EC	나쁘/VA + 아/EC
전화벨/B_NNGII	전화벨/NNG
촉진/B_NNGI	촉진/NNG
기념회/B_NNGII	기념회/NNG
출산/B_NNGI	출산/NNG
다를/B_VAI+ETM	다르/VA + ㄹ/ETM
열차관/B_NNGII	열차관/NNG
대충/B_MAGI	대충/MAG
항목/B_NNGI	항목/NNG
조리/B_NNGI	조리/NNG
아취/B_NNGI	아취/NNG
착실/B_XRI	착실/XR
넥타이/B_NNGII	넥타이/NNG
down/B_SLIII	down/SL
아마도/B_MAGII	아마도/MAG
소문나/B_VVII+EC	소문나/VV + 아/EC
출발/B_NNGI	출발/NNG
매일영어사/B_NNPIIII	매일영어사/NNP
어제/B_MAGI	어제/MAG
합하/B_VVI	합하/VV
기호/B_NNGI	기호/NNG
퀴즈/B_NNGI	퀴즈/NNG
으란/B_ETMI	으란/ETM
밑천/B_NNGI	밑천/NNG
실시/B_NNGI	실시/NNG
시켜서/B_VVI+ECI	시키/VV + 어서/EC
강사/B_NNGI	강사/NNG
거만/B_NNGI	거만/NNG
사슴/B_NNGI	사슴/NNG
의뢰/B_NNGI	의뢰/NNG
바꾼다면/B_VVI+B_NYI_ECI	바꾸/VV + ㄴ다면/EC
유두/B_NNGI	유두/NNG
분과/B_NNGI	분과/NNG
재떨이/B_NNGII	재떨이/NNG
저절로/B_MAGII	저절로/MAG
일일/B_NNGI	일일/NNG
만/B_NNB	만/NNB
한과/B_NNGI	한과/NNG
만/B_NNG	만/NNG
범인/B_NNGI	범인/NNG
문맹/B_NNGI	문맹/NNG
解土/B_SHI	解土/SH
을까/B_EFI	을까/EF
외도/B_NNGI	외도/NNG
호남/B_NNGI	호남/NNG
브리짓/B_NNPII	브리짓/NNP
던가/B_ECI	던가/EC
98/B_SNI	98/SN
컵케이크/B_NNGIII	컵케이크/NNG
겉옷/B_NNGI	겉옷/NNG
들으면서/B_VV+B_NYI_ECII	듣/VV + 으면서/EC
끊어질/B_VVII+ETM	끊어지/VV + ㄹ/ETM
홍시/B_NNGI	홍시/NNG
아무래도/B_MAGIII	아무래도/MAG
빚/B_VV	빚/VV
음식/B_NNGI	음식/NNG
바꿔서/B_VVI_VV+ECI	바꾸/VV + 어서/EC
매일신보/B_NNPIII	매일신보/NNP
사안/B_NNGI	사안/NNG
꼽혔/B_VVI+EP	꼽히/VV + 었/EP
시시/B_XRI	시시/XR
태권도/B_NNGII	태권도/NNG
우적우적/B_MAGIII	우적우적/MAG
어르신/B_NNGII	어르신/NNG
존중/B_NNGI	존중/NNG
기울여/B_VVII+EC	기울이/VV + 어/EC
일찌기/B_MAGII	일찌기/MAG
유학/B_NNGI	유학/NNG
실린/B_VVI+ETM	실리/VV + ㄴ/ETM
한사코/B_MAGII	한사코/MAG
애용/B_NNGI	애용/NNG
客星/B_SHI	客星/SH
높/B_VA	높/VA
한국일반여행업협회/B_NNPIIIIIIII	한국일반여행업협회/NNP
주입식/B_NNGII	주입식/NNG
문자/B_NNGI	문자/NNG
딱히/B_MAGI	딱히/MAG
심부름/B_NNGII	심부름/NNG
유리수/B_NNGII	유리수/NNG
소매/B_NNGI	소매/NNG
한식/B_NNGI	한식/NNG
극장장/B_NNGII	극장장/NNG
음/B_IC	음/IC
해외여행/B_NNGIII	해외여행/NNG
장이/B_XSNI	장이/XSN
이득/B_NNGI	이득/NNG
에릭/B_NNPI	에릭/NNP
고유/B_NNGI	고유/NNG
공화국/B_NNGII	공화국/NNG
귀여울/B_VAI+B_NYI_ETM	귀엽/VA + ㄹ/ETM
두드려/B_VVII+EC	두드리/VV + 어/EC
가변/B_NNGI	가변/NNG
추상/B_NNGI	추상/NNG
진정/B_MAGI	진정/MAG
할/B_XSV+ETM	하/XSV + ㄹ/ETM
자신/B_NNGI	자신/NNG
공론/B_NNGI	공론/NNG
철든/B_VVI+ETM	철들/VV + ㄴ/ETM
대견/B_XRI	대견/XR
질환/B_NNGI	질환/NNG
가벼워/B_VAI+B_NYI_EC	가볍/VA + 어/EC
육박/B_NNGI	육박/NNG
남짓/B_NNBI	남짓/NNB
카스트/B_NNGII	카스트/NNG
신임장/B_NNGII	신임장/NNG
복장포국교/B_NNPIIII	복장포국교/NNP
공포/B_NNGI	공포/NNG
썩/B_VV	썩/VV
세웠/B_VVI+EP	세우/VV + 었/EP
수/B_NNG	수/NNG
잘라야/B_VV+B_NYI_ECI	자르/VV + 아야/EC
가졌겠/B_VVI+B_NYI_EP	가지/VV + 었/EP
경향/B_NNGI	경향/NNG
수/B_NNB	수/NNB
뒷거래/B_NNGII	뒷거래/NNG
강요/B_NNGI	강요/NNG
유인물/B_NNGII	유인물/NNG
어쩜/B_MAGI	어쩜/MAG
직전/B_NNGI	직전/NNG
재편/B_NNGI	재편/NNG
목공소/B_NNGII	목공소/NNG
질/B_XSN	질/XSN
송수지/B_NNGII	송수지/NNG
움직여/B_VVII+EC	움직이/VV + 어/EC
한반도/B_NNPII	한반도/NNP
병리/B_NNGI	병리/NNG
배제/B_NNGI	배제/NNG
사방/B_NNGI	사방/NNG
기쁜/B_VAI+ETM	기쁘/VA + ㄴ/ETM
입히/B_VVI	입히/VV
송진/B_NNGI	송진/NNG
공무원/B_NNGII	공무원/NNG
큰누나/B_NNGII	큰누나/NNG
생각나/B_VVII+EC	생각나/VV + 아/EC
호텔/B_NNGI	호텔/NNG
원룸/B_NNGI	원룸/NNG
진료실/B_NNGII	진료실/NNG
보탠/B_VVI+ETM	보태/VV + ㄴ/ETM
매기/B_VVI	매기/VV
줬/B_VX+EP	주/VX + 었/EP
주요/B_NNGI	주요/NNG
81/B_SNI	81/SN
문예반/B_NNGII	문예반/NNG
쥐/B_VV	쥐/VV
실습/B_NNGI	실습/NNG
비디오테이프/B_NNGIIIII	비디오테이프/NNG
계곡/B_NNGI	계곡/NNG
감/B_NNG	감/NNG
토했/B_VVI+EP	토하/VV + 았/EP
요지/B_NNGI	요지/NNG
샤베트기/B_NNGIII	샤베트기/NNG
마스크탄/B_NNPIII	마스크탄/NNP
책자/B_NNGI	책자/NNG
다운/B_XSA+B_NYI_ETM	답/XSA + ㄴ/ETM
작용/B_NNGI	작용/NNG
파손/B_NNGI	파손/NNG
돼요/B_VV+EFI	되/VV + 어요/EF
한국자동차협회/B_NNPIIIIII	한국자동차협회/NNP
그야말로/B_MAGIII	그야말로/MAG
8/B_SN	8/SN
올라와/B_VVII_EC	올라오/VV
떨구/B_VVI	떨구/VV
독재/B_NNGI	독재/NNG
가벼워/B_VAI+B_NYI_EC	가볍/VA + 어/EC
억이/B_NNPI	억이/NNP
한꺼번에/B_MAGIII	한꺼번에/MAG
타깃/B_NNGI	타깃/NNG
부족/B_NNGI	부족/NNG
잔소리/B_NNGII	잔소리/NNG
일어나서/B_VVII+B_NYI_EC	일어나/VV + 아서/EC
홀딱/B_MAGI	홀딱/MAG
아프/B_VAI	아프/VA
윗부분/B_NNGII	윗부분/NNG
늦여름/B_NNGII	늦여름/NNG
뒷걸음치/B_VVIII	뒷걸음치/VV
숙지황/B_NNGII	숙지황/NNG
든다고/B_VV+ECII	들/VV + ㄴ다고/EC
떠나/B_VVI	떠나/VV
쿵쿵거리/B_VVIII	쿵쿵거리/VV
사과/B_NNGI	사과/NNG
행위/B_NNGI	행위/NNG
가했/B_VVI+EP	가하/VV + 았/EP
기껏/B_MAGI	기껏/MAG
옥상/B_NNGI	옥상/NNG
펄펄/B_MAGI	펄펄/MAG
산비탈/B_NNGII	산비탈/NNG
문질러/B_VVII+EC	문지르/VV + 어/EC
혼란/B_NNGI	혼란/NNG
밀려나/B_VVII+EC	밀려나/VV + 아/EC
이류/B_NNGI	이류/NNG
팔/B_VV+ETM	팔/VV + ㄹ/ETM
직접/B_NNGI	직접/NNG
농후/B_XRI	농후/XR
잖/B_EC+VX	지/EC + 않/VX
괘씸/B_XRI	괘씸/XR
복판/B_NNGI	복판/NNG
운행한다/B_NNGB_XSV+B_NYI_EF	운행/NNG + 하/XSV + ㄴ다/EC
비리/B_NNGI	비리/NNG
후원사/B_NNGII	후원사/NNG
시퐁/B_NNGI	시퐁/NNG
차차/B_MAGI	차차/MAG
나뉘/B_VVI	나뉘/VV
애태우/B_VVII	애태우/VV
찍/B_VV	찍/VV
붐비/B_VVI	붐비/VV
동양인/B_NNGII	동양인/NNG
열렬히/B_MAGII	열렬히/MAG
이쪽/B_NPI	이쪽/NP
육/B_NNG	육/NNG
인사/B_NNGI	인사/NNG
패턴/B_NNGI	패턴/NNG
해/B_XSA+EF	하/XSA + 아/EF
연재/B_NNGI	연재/NNG
우겨서/B_VVI+ECI	우기/VV + 어서/EC
해/B_XSA+EC	하/XSA + 아/EC
함께/B_MAGI	함께/MAG
숨겨/B_VVI+EC	숨기/VV + 어/EC
꼬/B_VV	꼬/VV
자주/B_NNGI	자주/NNG
클뤼버/B_NNPII	클뤼버/NNP
야지./B_VX+B_NYII+SF	보/VX + 아야지/EF
사회학/B_NNGII	사회학/NNG
본능/B_NNGI	본능/NNG
희미/B_XRI	희미/XR
줘/B_VV+EC	주/VV + 어/EC
신사동/B_NNPII	신사동/NNP
냉정/B_NNGI	냉정/NNG
사회단체/B_NNGIII	사회단체/NNG
후련/B_XRI	후련/XR
줘/B_VV+EF	주/VV + 어/EF
농촌/B_NNGI	농촌/NNG
추위/B_NNGI	추위/NNG
노/B_XPN	노/XPN
구요/B_EFI	구요/EF
강원도/B_NNPII	강원도/NNP
벤처/B_NNGI	벤처/NNG
분노/B_NNGI	분노/NNG
지겨워/B_VAI+B_NYI_EF	지겹/VA + 어/EF
구렁텅이/B_NNGIII	구렁텅이/NNG
육성/B_NNGI	육성/NNG
센서/B_NNGI	센서/NNG
황급히/B_MAGII	황급히/MAG
승/B_NNG	승/NNG
위궤양/B_NNGII	위궤양/NNG
건질/B_VVI+ETM	건지/VV + ㄹ/ETM
대한/B_NNPI	대한/NNP
쇼핑백/B_NNGII	쇼핑백/NNG
때로/B_MAGI	때로/MAG
차렸/B_VVI+EP	차리/VV + 었/EP
자바섬/B_NNPII	자바섬/NNP
다간/B_ECI	다간/EC
초/B_NNB	초/NNB
우뚝/B_MAGI	우뚝/MAG
한의원/B_NNGII	한의원/NNG
염료/B_NNGI	염료/NNG
만났었/B_VVI+B_NYI_EP	만나/VV + 았었/EP
묵묵히/B_MAGII	묵묵히/MAG
냉동/B_NNGI	냉동/NNG
지워/B_VVI+EC	지우/VV + 어/EC
변함없/B_VAII	변함없/VA
혀/B_NNG	혀/NNG
싣/B_VV	싣/VV
보여준다/B_VVI+ECB_VX+B_NYI_EF	보이/VV + 어/EC + 주/VX + ㄴ다/EC
치료/B_NNGI	치료/NNG
식자/B_NNGI	식자/NNG
숄/B_NNG	숄/NNG
비슷비슷/B_MAGIII	비슷비슷/MAG
비틀거렸/B_VVIII+EP	비틀거리/VV + 었/EP
임대/B_NNGI	임대/NNG
사/B_VV	사/VV
본/B_VV+ETM	보/VV + ㄴ/ETM
새/B_MM	새/MM
불/B_NNG	불/NNG
역사/B_NNGI	역사/NNG
구치소/B_NNGII	구치소/NNG
반기/B_VVI	반기/VV
사기/B_NNGI	사기/NNG
두환/B_NNPI	두환/NNP
초/B_NNG	초/NNG
왕립/B_NNGI	왕립/NNG
높였/B_VVI+EP	높이/VV + 었/EP
에메랄드/B_NNGIII	에메랄드/NNG
초가을/B_NNGII	초가을/NNG
돼/B_XSV+EC	되/XSV + 어/EC
수여/B_NNGI	수여/NNG
시기/B_NNGI	시기/NNG
늘어난/B_VVII+ETM	늘어나/VV + ㄴ/ETM
돌아간/B_VVII+ETM	돌아가/VV + ㄴ/ETM
보인다고/B_VVI+B_NYI_ECI	보이/VV + ㄴ다고/EC
모범/B_NNGI	모범/NNG
붉은기/B_NNGII	붉은기/NNG
동물/B_NNGI	동물/NNG
넘겨/B_VVI+EC	넘기/VV + 어/EC
비비/B_VVI	비비/VV
옥신각신/B_NNGIII	옥신각신/NNG
김숙희/B_NNPII	김숙희/NNP
내놨/B_VVI+EP	내놓/VV + 았/EP
각출/B_NNGI	각출/NNG
기입/B_NNGI	기입/NNG
춰요/B_VV+EFI	추/VV + 어요/EF
유래/B_NNGI	유래/NNG
커/B_VV+EC	크/VV + 어/EC
배달원/B_NNGII	배달원/NNG
틀림없/B_VAII	틀림없/VA
타개/B_NNGI	타개/NNG
책임질/B_VVII+ETM	책임지/VV + ㄹ/ETM
저녁/B_NNGI	저녁/NNG
walking/B_SLIIIIII	walking/SL
김재건/B_NNPII	김재건/NNP
부동산/B_NNGII	부동산/NNG
마르/B_NNGI	마르/NNG
지리산/B_NNPII	지리산/NNP
일그러진/B_VVIII+ETM	일그러지/VV + ㄴ/ETM
다니/B_EFI	다니/EF
학력/B_NNGI	학력/NNG
땅/B_NNG	땅/NNG
빈속/B_NNGI	빈속/NNG
기아/B_NNGI	기아/NNG
턱시도/B_NNGII	턱시도/NNG
백/B_NNG	백/NNG
우스꽝스럽/B_VAIIII	우스꽝스럽/VA
특채/B_NNGI	특채/NNG
공출/B_NNGI	공출/NNG
마네킹/B_NNGII	마네킹/NNG
아랫니/B_NNGII	아랫니/NNG
학예회/B_NNGII	학예회/NNG
튀어나온/B_VVIII+ETM	튀어나오/VV + ㄴ/ETM
기대감/B_NNGII	기대감/NNG
하소연/B_NNGII	하소연/NNG
아요/B_VX+B_NYI_EF	않/VX + 아요/EF
접착제/B_NNGII	접착제/NNG
다니/B_ECI	다니/EC
부리/B_VVI	부리/VV
기독교/B_NNGII	기독교/NNG
참석한다/B_NNGB_XSV+B_NYI_EF	참석/NNG + 하/XSV + ㄴ다/EC
김귀식/B_NNPII	김귀식/NNP
이황화탄소/B_NNGIIII	이황화탄소/NNG
미르/B_NNGI	미르/NNG
치/B_XSN	치/XSN
유연/B_XRI	유연/XR
블레처/B_NNPII	블레처/NNP
면/B_EF	면/EF
경성공업경영전문학교/B_NNPIIIIIIIII	경성공업경영전문학교/NNP
면/B_EC	면/EC
폭력/B_NNGI	폭력/NNG
나가서/B_VVI+B_NYI_EC	나가/VV + 아서/EC
불식/B_NNGI	불식/NNG
일어난/B_VVII+ETM	일어나/VV + ㄴ/ETM
이뤄져야/B_VVII+ECI	이루어지/VV + 어야/EC
낸다/B_VX+EFI	내/VX + ㄴ다/EF
향기/B_NNGI	향기/NNG
재산/B_NNGI	재산/NNG
돌려야지/B_VVI+ECII	돌리/VV + 어야지/EC
남북/B_NNPI	남북/NNP
해도/B_XSV+B_NYI_EC	하/XSV + 아도/EC
통폐합/B_NNGII	통폐합/NNG
딱/B_MAG	딱/MAG
콜택시/B_NNGII	콜택시/NNG
어쩌다/B_MAGII	어쩌다/MAG
지사/B_NNGI	지사/NNG
비장/B_NNGI	비장/NNG
코흘리개/B_NNGIII	코흘리개/NNG
응한다는/B_VVI+B_NYI_ETMI	응하/VV + ㄴ다는/ETM
도와줄/B_VVII+ETM	도와주/VV + ㄹ/ETM
계획/B_NNGI	계획/NNG
직위/B_NNGI	직위/NNG
저지른/B_VVII+ETM	저지르/VV + ㄴ/ETM
사로잡혀/B_VVIII+EC	사로잡히/VV + 어/EC
승전/B_NNGI	승전/NNG
이리/B_MAGI	이리/MAG
질서/B_NNGI	질서/NNG
포장/B_NNGI	포장/NNG
불빛/B_NNGI	불빛/NNG
문화부/B_NNGII	문화부/NNG
가타리/B_NNPII	가타리/NNP
지나야/B_VVI+B_NYI_EC	지나/VV + 아야/EC
라구요/B_EFII	라구요/EF
날아가/B_VVII	날아가/VV
게이지/B_NNGII	게이지/NNG
치켜들/B_VVII	치켜들/VV
정적/B_NNGI	정적/NNG
체취/B_NNGI	체취/NNG
간절/B_XRI	간절/XR
컨소시움/B_NNGIII	컨소시움/NNG
뒤/B_NNG	뒤/NNG
오염/B_NNGI	오염/NNG
의존/B_NNGI	의존/NNG
장관실/B_NNGII	장관실/NNG
김진홍/B_NNPII	김진홍/NNP
가입/B_NNGI	가입/NNG
대사관/B_NNGII	대사관/NNG
일수/B_NNGI	일수/NNG
벽걸이/B_NNGII	벽걸이/NNG
대대로/B_MAGII	대대로/MAG
탐험/B_NNGI	탐험/NNG
둘/B_NR	둘/NR
배운다는/B_VVI+B_NYI_ETMI	배우/VV + ㄴ다는/ETM
볼까/B_VX+B_NYI_EF	보/VX + ㄹ까/EF
솟/B_VV	솟/VV
한테/B_JKBI	한테/JKB
볼까/B_VX+B_NYI_EC	보/VX + ㄹ까/EC
청송/B_NNPI	청송/NNP
들어간다는/B_VVII+B_NYI_ETMI	들어가/VV + ㄴ다는/ETM
전당/B_NNGI	전당/NNG
장남/B_NNGI	장남/NNG
일본어/B_NNPII	일본어/NNP
글쎄요/B_ICII	글쎄요/IC
볼거리/B_NNGII	볼거리/NNG
트라이/B_NNGII	트라이/NNG
뛸/B_VV+ETM	뛰/VV + ㄹ/ETM
렌트카/B_NNGII	렌트카/NNG
던질/B_VVI+ETM	던지/VV + ㄹ/ETM
넘어갔/B_VVII+EP	넘어가/VV + 았/EP
뿐/B_NNB	뿐/NNB
바라/B_VVI	바라/VV
유재성/B_NNPII	유재성/NNP
울음/B_NNGI	울음/NNG
고작/B_MAGI	고작/MAG
조화/B_NNGI	조화/NNG
시세/B_NNGI	시세/NNG
당분/B_NNGI	당분/NNG
키울/B_VVI+ETM	키우/VV + ㄹ/ETM
하고/B_JCI	하고/JC
망가뜨렸/B_VVIII+EP	망가뜨리/VV + 었/EP
세종실/B_NNGII	세종실/NNG
배워야/B_VVI+ECI	배우/VV + 어야/EC
전자/B_NNGI	전자/NNG
꽁꽁/B_MAGI	꽁꽁/MAG
예외/B_NNGI	예외/NNG
당겨왔/B_VVI+ECB_VX+EP	당기/VV + 어/EC + 오/VX + 았/EP
마돈나/B_NNPII	마돈나/NNP
엉망/B_NNGI	엉망/NNG
장학관/B_NNGII	장학관/NNG
그럴/B_VAI+ETM	그렇/VA + ㄹ/ETM
그럴듯/B_VAI+B_NYI_ETM	그렇/VA + ㄹ/ETM + 듯/NNB
매끄럽/B_VAII	매끄럽/VA
좌초/B_NNGI	좌초/NNG
슈퍼마켓/B_NNGIII	슈퍼마켓/NNG
총동원/B_NNGII	총동원/NNG
드문/B_VAI+ETM	드물/VA + ㄴ/ETM
등수/B_NNGI	등수/NNG
전진/B_NNGI	전진/NNG
안주/B_NNGI	안주/NNG
갈아타/B_VVII	갈아타/VV
그러니/B_VAI+B_NYI_EC	그렇/VA + 니/EC
울린다/B_VVI+B_NYI_EF	울리/VV + ㄴ다/EF
지병/B_NNGI	지병/NNG
싸우/B_VVI	싸우/VV
저지/B_NNGI	저지/NNG
벌써/B_MAGI	벌써/MAG
몸부림/B_NNGII	몸부림/NNG
곳곳/B_NNGI	곳곳/NNG
1320/B_SNIII	1320/SN
반갑/B_VAI	반갑/VA
복지/B_NNGI	복지/NNG
색깔/B_NNGI	색깔/NNG
후미진/B_VAII+ETM	후미지/VA + ㄴ/ETM
포인트/B_NNGII	포인트/NNG
내부/B_NNGI	내부/NNG
